MasterBedroom,2141.2372,1252.1224000000002
MasterBedroomBathroom,1700.9108,1225.551
PowderRoom,1651.5637,2018.8979
Kitchen,1879.3189,2633.8368
LivingRoom,2091.8903,2284.6121000000003
DiningRoom,2141.2372,2633.8368
MaidRoom,1647.7678,2542.7346
Bedroom3,2154.5659,1558.5408000000002
Laundry,1642.4730224609375,1625.171630859375
Bedroom2,2167.4465,1996.478
MaidBathroom,1708.5025,2713.5510999999997
Entrance,1602.2168,2242.8571
Corridor,1769.2372,2155.5510999999997
MasterBedroomWardrobe,1922.717,1236.5283
Balcony1,2417.4563,1512.667
Balcony3,1924.2852,2949.9089
Bedroom2Bathroom,1909.8364,2015.7988
Bedroom3Bathroom,1954.9182,1577.8616000000002
Office,1562.626220703125,1479.56884765625
